temperature,rainfall,humidity
49.96,62.31,78.40
96.06,56.61,34.76
78.56,34.66,47.73
67.89,95.02,73.06
32.48,76.73,58.57
32.48,131.20,79.09
24.65,14.50,96.90
89.29,100.14,29.32
68.09,116.81,76.77
76.65,116.33,38.43
21.65,134.05,53.16
97.59,112.06,22.63
86.60,139.89,30.87
36.99,56.57,45.58
34.55,80.45,47.36
34.67,11.97,91.97
44.34,10.97,79.35
61.98,43.62,97.77
54.56,24.11,67.93
43.30,46.43,39.34
68.95,34.79,46.21
31.16,13.99,45.59
43.37,137.30,46.12
49.31,11.15,73.84
56.49,113.05,62.46
82.81,31.30,50.83
35.97,137.71,31.93
61.14,134.99,21.77
67.39,101.55,37.51
23.72,104.11,28.60
68.60,10.75,82.84
33.64,147.88,29.00
25.20,132.90,77.94
95.91,135.31,50.85
97.25,102.29,25.87
84.67,58.27,85.02
44.37,135.11,66.37
27.81,50.81,38.86
74.74,88.78,91.57
55.21,23.96,23.62
29.76,139.07,36.15
59.61,29.71,80.16
22.75,41.49,76.75
92.75,88.14,43.14
40.70,116.97,24.96
73.00,96.71,88.65
44.94,42.50,45.10
61.61,10.13,35.66
63.74,116.00,61.28
34.79,147.93,92.82
97.57,123.39,23.48
82.01,74.43,81.26
95.16,136.53,65.80
91.59,67.38,54.04
67.83,83.49,79.53
93.75,76.80,97.27
27.08,72.67,38.34
35.68,118.53,31.49
23.62,83.75,93.03
46.03,54.34,73.52
51.09,46.14,55.04
41.71,15.28,65.86
86.30,91.65,79.65
48.54,42.19,81.84
42.47,30.74,93.59
63.42,101.54,54.15
31.27,105.37,43.47
84.18,115.30,71.17
25.96,80.50,53.26
98.95,135.17,67.57
81.78,141.09,53.60
35.90,123.03,32.24
20.44,98.98,57.55
85.24,52.52,75.27
76.55,147.61,83.94
78.32,48.38,59.47
81.70,38.37,33.22
25.92,71.90,53.18
48.68,17.96,82.90
29.27,146.99,53.03
89.05,92.38,75.72
69.86,87.97,60.58
46.47,101.81,39.30
25.08,79.58,83.69
44.88,14.49,26.74
46.01,95.72,61.99
78.37,110.26,36.71
71.00,68.34,25.37
90.98,116.02,60.23
57.78,41.78,59.96
29.57,40.98,76.55
77.06,32.60,79.58
80.86,62.08,78.22
64.90,128.58,52.76
81.68,125.91,70.54
59.50,63.60,66.16
61.82,92.48,53.72
54.20,110.91,67.78
22.03,43.77,95.78
28.63,33.54,35.43
22.51,146.09,92.46
70.91,96.46,24.28
45.15,147.40,44.67
60.69,57.29,43.05
92.61,108.42,70.11
39.94,41.16,30.50
52.83,46.57,90.59
80.44,81.67,86.28
38.30,54.75,72.17
26.16,33.47,56.67
43.18,46.80,94.64
32.90,15.00,86.46
94.38,108.62,59.95
84.65,78.90,76.15
70.67,23.19,65.35
89.72,34.04,67.04
84.29,24.35,46.48
34.93,95.76,56.97
91.40,23.19,26.25
63.15,115.60,48.59
84.60,12.87,75.67
91.69,44.91,96.26
45.44,134.69,97.05
28.80,110.59,64.46
38.23,20.22,68.53
54.17,124.96,34.86
85.44,79.02,75.62
88.86,128.55,25.65
20.56,94.10,42.77
60.86,105.46,73.47
53.39,149.09,44.82
37.77,42.53,23.99
