temperature,rainfall,humidity,yield_apples
49.96,62.31,78.40,66.65
96.06,56.61,34.76,57.52
78.56,34.66,47.73,54.36
67.89,95.02,73.06,75.90
32.48,76.73,58.57,54.38
32.48,131.20,79.09,75.53
24.65,14.50,96.90,58.75
89.29,100.14,29.32,61.48
68.09,116.81,76.77,82.17
76.65,116.33,38.43,65.48
21.65,134.05,53.16,59.88
97.59,112.06,22.63,63.00
86.60,139.89,30.87,69.39
36.99,56.57,45.58,45.20
34.55,80.45,47.36,50.13
34.67,11.97,91.97,58.78
44.34,10.97,79.35,55.17
61.98,43.62,97.77,76.20
54.56,24.11,67.93,55.16
43.30,46.43,39.34,41.95
68.95,34.79,46.21,50.75
31.16,13.99,45.59,34.94
43.37,137.30,46.12,63.53
49.31,11.15,73.84,53.94
56.49,113.05,62.46,70.79
82.81,31.30,50.83,56.52
35.97,137.71,31.93,54.30
61.14,134.99,21.77,56.23
67.39,101.55,37.51,59.28
23.72,104.11,28.60,42.24
68.60,10.75,82.84,64.15
33.64,147.88,29.00,54.17
25.20,132.90,77.94,73.11
95.91,135.31,50.85,81.26
97.25,102.29,25.87,62.57
84.67,58.27,85.02,79.56
44.37,135.11,66.37,73.52
27.81,50.81,38.86,37.94
74.74,88.78,91.57,85.96
55.21,23.96,23.62,33.16
29.76,139.07,36.15,54.82
59.61,29.71,80.16,63.91
22.75,41.49,76.75,53.50
92.75,88.14,43.14,67.02
40.70,116.97,24.96,48.08
73.00,96.71,88.65,85.57
44.94,42.50,45.10,44.53
61.61,10.13,35.66,38.34
63.74,116.00,61.28,72.96
34.79,147.93,92.82,86.43
97.57,123.39,23.48,65.69
82.01,74.43,81.26,80.12
95.16,136.53,65.80,88.75
91.59,67.38,54.04,67.97
67.83,83.49,79.53,76.81
93.75,76.80,97.27,92.12
27.08,72.67,38.34,41.83
35.68,118.53,31.49,50.16
23.62,83.75,93.03,70.35
46.03,54.34,73.52,61.44
51.09,46.14,55.04,52.08
41.71,15.28,65.86,48.50
86.30,91.65,79.65,84.05
48.54,42.19,81.84,63.92
42.47,30.74,93.59,65.68
63.42,101.54,54.15,66.41
31.27,105.37,43.47,52.19
84.18,115.30,71.17,83.90
25.96,80.50,53.26,50.52
98.95,135.17,67.57,90.50
81.78,141.09,53.60,79.55
35.90,123.03,32.24,51.50
20.44,98.98,57.55,54.70
85.24,52.52,75.27,73.71
76.55,147.61,83.94,94.46
78.32,48.38,59.47,62.91
81.70,38.37,33.22,48.79
25.92,71.90,53.18,48.75
48.68,17.96,82.90,59.65
29.27,146.99,53.03,64.69
89.05,92.38,75.72,83.05
69.86,87.97,60.58,68.84
46.47,101.81,39.30,53.95
25.08,79.58,83.69,65.28
44.88,14.49,26.74,29.73
46.01,95.72,61.99,63.94
78.37,110.26,36.71,63.92
71.00,68.34,25.37,47.65
90.98,116.02,60.23,80.61
57.78,41.78,59.96,55.67
29.57,40.98,76.55,55.34
77.06,32.60,79.58,69.43
80.86,62.08,78.22,75.78
64.90,128.58,52.76,71.57
81.68,125.91,70.54,84.96
59.50,63.60,66.16,63.65
61.82,92.48,53.72,63.90
54.20,110.91,67.78,72.33
22.03,43.77,95.78,63.25
28.63,33.54,35.43,33.01
22.51,146.09,92.46,82.20
70.91,96.46,24.28,52.70
45.15,147.40,44.67,65.36
60.69,57.29,43.05,51.19
92.61,108.42,70.11,84.52
39.94,41.16,30.50,35.46
52.83,46.57,90.59,70.46
80.44,81.67,86.28,83.61
38.30,54.75,72.17,58.53
26.16,33.47,56.67,42.88
43.18,46.80,94.64,69.63
32.90,15.00,86.46,56.10
94.38,108.62,59.95,80.01
84.65,78.90,76.15,79.25
70.67,23.19,65.35,58.51
89.72,34.04,67.04,67.24
84.29,24.35,46.48,53.40
34.93,95.76,56.97,58.12
91.40,23.19,26.25,45.18
63.15,115.60,48.59,66.36
84.60,12.87,75.67,65.79
91.69,44.91,96.26,84.62
45.44,134.69,97.05,89.09
28.80,110.59,64.46,62.99
38.23,20.22,68.53,49.78
54.17,124.96,34.86,58.67
85.44,79.02,75.62,79.25
88.86,128.55,25.65,65.19
20.56,94.10,42.77,46.37
60.86,105.46,73.47,76.09
53.39,149.09,44.82,68.25
37.77,42.53,23.99,31.83
29.59,97.35,86.55,71.62
47.01,74.44,44.83,51.41
95.43,15.52,25.05,44.26
45.86,12.03,25.98,29.15
61.50,26.69,40.14,43.86
76.24,100.87,34.24,60.17
49.09,89.40,81.94,73.58
